GeneSymbol	X3038	X3044	X3070	X3093	X3123	X3127	X3150	X3160	X3024	X3025	X3027	X3033	X3034	X3040	X3042	X3045	X3055	X3063	X3078	X3100	X3115	X3134	X3152	X3154	X3170	X3172	X3174	X3197	X3218	X3228	X3023	X3039	X3071	X3081	X3089	X3091	X3111	X3112	X3114	X3120	X3122	X3124	X3133	X3136	X3141	X3161	X3183	X3184	X3206	X3221	X3223	SD
ABCB1	7.80156740011114	7.47633971249949	7.54254173859334	7.28836931746115	7.69311372520969	7.40250356760582	7.85953789760396	7.40925856403196	7.79794726835592	7.50924065816036	7.2718394067784	7.74783803771196	7.79205984808857	7.37069770695042	7.95309906347424	7.6409784180771	7.35537462331158	7.36530647514887	7.60841588527448	7.51056750155171	7.79460037337792	7.74901959732903	7.75057587332354	7.68541479905622	7.62874238662651	7.63325616913478	7.57986490025423	7.95469811438048	7.44449446140726	7.7282315756653	8.03455301979544	7.67033692120481	7.48720462488989	7.22731720247718	7.7091912381395	7.49986894134629	7.56343745321257	7.7087640794649	7.3827782365526	7.81197030437106	7.37861065938857	7.83069749757715	7.56217604302765	7.97730623820335	7.81873167889875	7.81883977313154	7.51033253258915	7.70676658133883	7.57404911708112	7.68858341608068	7.75513911995985	0.195287119885371
ABTB1	10.3983657943747	11.0600108196954	11.0503218795256	11.2373550389295	10.670184416287	11.4465699535129	10.8075489719773	10.9194731238275	10.9868473614186	10.8840515565793	11.2965173356049	11.3774465013858	10.8048973683664	11.3505747733634	11.1483894671599	10.9469607310628	11.1584767637922	11.5510151334617	10.1466261666336	11.1132787518844	10.9713759046678	10.9429162009628	10.4864612284137	11.0356465896729	10.9766028355819	11.6812204705092	10.6424865548452	10.9669593491171	11.3058702282487	11.2960809284982	10.9647405084902	11.6175430478536	11.2908872962489	11.087226585392	10.792331198636	11.4587582787491	11.421227522021	10.8843178454279	11.170118705625	11.1326279113679	11.1717345354451	11.1717345354451	11.369113312744	10.5231238517098	10.8746714144878	10.9318564009158	11.1570520775234	11.1376856337488	11.0236245334499	10.9726259639533	10.6183473461784	0.309934230900039
ACSL6	6.8966525249822	7.05876413300323	6.92288284882457	7.35832282594505	7.00882264677259	6.85677141018795	7.29174948769984	7.28163445960123	6.80471274496989	7.07765834052086	6.93863180549477	7.05514713026986	6.92589236051933	6.85880583508966	6.86131283656449	7.08075857570531	7.35301162200376	6.93772553597331	7.07616032952063	7.01284516611426	7.04361369327459	6.93620367168984	6.90235226703126	6.8976436712923	7.08875299437093	6.9718341692909	7.01797496937379	7.05279386810333	6.75862836772241	6.83131185511516	6.78010806373746	7.07400298950465	7.03718265606628	6.93284221824512	7.05193847568074	7.00376017182433	7.3933209978399	7.0460389935504	6.78091205328088	7.08139092738305	7.20767976594065	6.77433786286684	6.93638249159726	7.03080210046543	7.17327648521369	6.81741628810361	7.15764643982414	7.02545132885346	7.09360700736951	6.98558888090175	6.85926411218029	0.153752878814522
ADAM12	6.81752268296379	6.66809965656433	6.8365936828569	6.83816629976294	6.85589732688191	6.89974674638127	6.92811999536996	7.01799561354074	6.65878659107933	6.66160645345624	6.94671383988032	6.90570681685276	6.91125394673386	6.93398515870667	6.92011240748356	6.96407291702392	6.7427012662451	6.96831749017068	6.83782984938296	6.84047148212624	6.91773953474509	6.87104704875988	6.8740888908643	6.65242702831373	7.37425277001045	6.93675771736911	6.84433251777306	7.04175232436564	6.76059710326188	6.96722726391654	6.94956221901551	6.95947377857716	6.81633557620375	6.91599219420903	7.13623632610769	6.86060579053827	7.09986298545059	6.73929740508291	6.88168385402694	6.85248231491475	6.82813464881076	6.97254263105753	6.95590947897863	6.79142432588985	7.06796664581047	6.8392842662155	6.9120570421847	7.06206424504743	6.96797395413134	6.81534931770403	6.7481880877535	0.129361984934015
ADAM15	9.34065279948478	9.06291716651299	9.3959435747781	9.53986866147862	9.23755413090255	9.43895976329905	8.66614573846436	9.37269456765305	9.53490660621089	9.33916727688421	9.68566997909562	9.40772885974417	9.06187168369846	8.98813139342767	9.18205114055653	9.51239314637246	9.06490895332149	9.3752897753907	9.14277761919264	9.00745534637451	9.17369039835342	9.43809801886438	9.32596742668688	9.34723365469103	9.13002117656716	8.71649616036679	9.40295079000804	9.0173858091304	9.26415727745538	9.13012574183798	9.23069480779758	9.11992976654884	9.27422797317951	9.30347887916978	9.18753435015285	8.79176556216549	9.18494233134952	9.21852023611775	9.46256119294615	9.44725632656024	9.07026745440504	9.45155974876421	9.26445298003422	9.25587437210198	9.62902752365552	9.32596742668688	9.08254829575181	8.9708950677277	9.3647258680444	9.11695547841944	9.55185838696881	0.217414794764279
ADAM28	7.18102638273941	6.94216056148291	7.18303398191281	7.21058210919264	7.10904689373474	6.85767690002563	6.73583307451204	7.0522038835751	7.20010413968059	7.3721768357323	6.97439855265118	7.00129084614597	7.06054578317257	7.2145846721825	6.98009772729169	6.95580959689846	7.19693589588585	7.18474622801468	7.16337200774692	7.22179931578129	7.02991390812928	7.14181213170182	7.09018789930708	6.88440128582996	7.34602688369307	6.91570534833731	7.09581999259494	7.05731914368283	6.92258103587985	6.95084642158935	6.96887359936185	7.00607989170961	6.95589717691412	7.19051167610329	7.1794181894185	7.03075792156209	7.04786533291599	6.83732007252313	6.91309856941889	7.13967806205275	7.07866464238019	6.87055043995402	6.91683513236153	6.96434187192191	7.06260623246504	7.09085141103697	7.05330541532145	6.99386814872453	7.20177093416563	7.04708454760004	7.06458515441992	0.130505272381464
ADAMTSL4	7.03662037731639	6.94752818173745	6.85485848544661	7.07945636655699	6.92153564047951	7.12266905294229	7.02761737430521	7.23669780382155	6.98022484921082	7.27372230546282	7.05270118928307	7.0246326347691	6.97076257160984	6.95995406848252	6.91218132740195	7.01329521478158	6.95764942591646	7.1637253413628	6.91494034194008	6.82421093751979	6.92991783670936	7.06571108504852	7.05173669718749	6.87069924323867	6.96580716871505	6.91266656406662	6.91909965959198	6.93880241044147	7.10633796885483	6.87786530166007	6.92626288738151	6.93274250641343	7.10458236944128	6.99072061572774	6.94442458369223	6.85355017152087	6.90550234468803	7.00294969536825	7.16163352967952	6.99976229666547	7.16646265361571	6.89622017242158	6.95949948438254	6.87251663480055	7.05883874966973	6.8995968435449	6.95379092877247	6.88402614740734	7.07292094077612	6.98227850937333	6.99338753556053	0.100553202084527
AFF3	7.90821001256162	8.07361157883466	7.66045354445051	7.82720642655525	8.15801449180229	7.44130127907264	7.68543556992777	7.96042962991863	7.80729080220629	7.61989201538207	7.79146628420567	7.45733930843137	7.75496631633803	7.97485825363889	7.53935390264006	7.69980255178861	7.60594636874822	7.38614820238749	8.26838352784819	7.80319559826084	7.29796268548956	7.88151628810332	8.08629385794996	8.18817064050224	7.82902126817125	7.49170101703605	7.79715280080318	7.80811343768274	7.4199913248698	7.52395922446652	7.42107799338577	7.32789834901079	7.47811569759688	7.59806179738026	7.88074054799404	7.38411824259687	7.76245936779917	7.38046030270687	7.82803986584199	7.93520041408339	7.5101269832306	7.63745281856382	7.521410895411	7.51174468508804	7.66896448656458	8.06415346588681	7.60778736186788	7.59102807329213	7.76112334542551	7.74254520282858	7.82990665130597	0.237222500056416
AK5	6.81816301012152	6.92173233839162	6.93742449474438	6.74454724767828	6.77563010579345	6.66019294954407	6.87545697968727	6.87116697293881	6.75651464596683	6.92992314374009	6.82968235938807	6.65415363794193	7.04623524424414	7.0156265856337	6.75405256620881	6.85745723887122	6.774971500938	6.75287295448007	7.03857724123941	6.83462195565174	7.00135241538328	6.76466417161561	6.7172702311679	6.88221628483186	6.78105436438149	6.95141921293047	6.96069348805579	6.99798622736895	7.17209747418907	6.90783768919292	6.83689526584954	6.84975479855429	6.80537694436054	6.84652069399343	6.94552642413728	6.72201603820829	6.97985043036047	6.80566153235549	6.76094302519201	6.83452290332061	6.86239111043979	6.89796192746093	6.79009915676687	7.05255048910394	6.78527384717611	6.88359255014918	6.94688822309436	6.81920318723445	6.86341831512395	6.99009163740166	6.81722048677179	0.107745580818151
ALDH3B1	8.17726386589907	7.53126255436701	7.93069666760012	7.76510031074634	7.53525596808324	8.3401490769141	8.22316883988234	8.13345923286234	7.86734956239592	8.05741906492892	8.05797552877729	7.94644918727113	7.86537230053769	7.67403326196325	8.12982573746141	8.03981740709828	7.4596931443309	8.25813502368259	7.56791670669661	7.82293958590637	7.61708348681805	7.77799742057271	8.41380143643801	8.11038101949663	7.72723323643142	8.0139357904524	8.26006312780362	7.795024345126	8.26229836751096	7.85280073144436	8.10352855593352	8.01813297612714	8.14119026562755	7.98569902826751	7.77527049210754	7.75280782072321	7.90210197623162	7.94190785343956	8.36029173970105	8.02169323163389	8.30034238958212	8.09298723086084	7.71747586718905	7.4982787220241	8.09084177976793	7.80478973663975	8.0572705368238	7.34534775823289	7.8355669951541	7.76376682673751	7.97441602775074	0.252004344310636
